#timestamp x y z q_x q_y q_z q_w
1627729514.89839 0.0661912072158706 -0.0165785867785301 0.0673618260196898 0.000632943957251408 -0.00320234978893198 -0.00314979448022 0.999989711513328
1627729515.90031 0.306414418576003 -0.0558987064854009 0.0670613868123379 0.00105013657540696 -0.00299735635946638 -0.0349594450905163 0.999383685211535
1627729516.90228 0.765753749706509 -0.127816070047737 0.0794532552174229 0.00121790526001506 -0.00268742502132072 -0.0760483043004435 0.997099769264116
1627729517.90431 1.27482126443051 -0.258986409091948 0.0911158511830633 0.00233346563112924 -0.00312989651302719 -0.128117719265219 0.99175128368772
1627729518.90621 1.78593646902732 -0.434893301937711 0.102784839681939 0.00352256229988293 -0.00377768045461624 -0.167701044854012 0.985824365817814
1627729519.90814 2.31624996806305 -0.632358757600686 0.105488052725444 0.00338366629617601 -0.00281996566763175 -0.184123150673915 0.982893312614312
1627729520.91016 2.96422718436791 -0.883644933838217 0.10431328632534 0.00346848200108176 -0.00147580110084504 -0.191445255334981 0.981496054935239
1627729521.9126 3.66689729714115 -1.16557909342428 0.11228393676573 0.00431376050096523 -0.00139879265276653 -0.186513126578068 0.982442002595328
1627729522.91403 4.38089451407761 -1.3893252909157 0.109994248566622 0.00335136205192269 -0.00276153694163438 -0.158522265071849 0.987345853165239
1627729523.91597 5.09248632832353 -1.55309447413286 0.12203102882805 0.00305301573040991 -0.00478825615304134 -0.079508226038052 0.996818034392552
1627729524.91794 5.82646933147571 -1.54148065009359 0.124183482372491 0.00219395299197926 -0.00419018043090714 0.0226339089565739 0.999732631818907
1627729525.91989 6.47323806527115 -1.52681203128995 0.132141108865308 0.00159359389229782 -0.00500143608362351 0.00449902915012564 0.999976102130597
1627729526.92187 7.07953546285471 -1.52244609128181 0.145362642570641 0.00234651104324265 -0.00459695336386074 0.012774111921492 0.999905087480955
1627729527.92381 7.67946925560489 -1.46407451659083 0.147352790643991 0.00195410024911844 -0.00490909642679303 0.0358531840820607 0.999343099969002
1627729528.9258 8.2805161936287 -1.44050866946396 0.154370401156976 0.00187638888734004 -0.00527546647578779 0.0163315623116053 0.99985095323786
1627729529.92774 8.88102407623425 -1.36934800953937 0.159397304368218 0.000808558660251559 -0.00630513979319174 0.0624035353677016 0.998030756148668
1627729530.92969 9.46932679700967 -1.25325651354241 0.169789616034176 0.000518340512029482 -0.00603752764449282 0.0944244877003176 0.995513583888022
